"","PEARNVAL","A_AGE","PRDTRACE","A_SEX","A_HGA","A_MARITL","PEHSPNON","MIG_DIV","A_USLHRS","A_CLSWKR","A_MJIND","A_MJOCC","MOOP","HEAbin","earnbin"
"84620",40000,22,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","south atlantic",30,"Government","Public administration","Service occupations",25,"Good","0"
"159582",25000,47,"White only","male","12th grade no diploma","Married - civilian spouse present","Yes","pacific",40,"Private","Other services","Installation, maintenance, and repair occupations",0,"Good","0"
"163642",33000,47,"White only","male","Some college but no degree","Married - civilian spouse present","No","pacific",40,"Self-employed","Wholesale and retail trade","Sales and related occupations",120,"Good","0"
"108206",90000,38,"Asian only","male","Associate degree in college - occupation/vocation program","Divorced","No","west south central",40,"Private","Manufacturing","Construction and extraction occupations",700,"Bad","1"
"70803",60001,41,"Asian only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","south atlantic",40,"Private","Educational and health services","Professional and related occupations",2600,"Good","1"
"25143",130250,66,"White only","male","Associate degree in college - academic program","Never married","No","middle atlantic",15,"Private","Wholesale and retail trade","Sales and related occupations",3400,"Good","1"
"167509",65600,46,"White only","male","High school graduate - high school diploma or equivalent","Divorced","Yes","pacific",50,"Private","Information","Installation, maintenance, and repair occupations",2925,"Good","1"
"52241",100000,61,"White only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","west north central",50,"Private","Manufacturing","Management, business, and financial occupations",1225,"Good","1"
"9836",50000,48,"White only","female","Some college but no degree","Married - civilian spouse present","No","new england",38,"Private","Financial activities","Office and administrative support occupations",2550,"Good","0"
"169936",55000,42,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","pacific",40,"Private","Information","Management, business, and financial occupations",3240,"Good","0"
"129319",5311,16,"White only","female","Some college but no degree","Never married","No","mountain",8,"Private","Educational and health services","Service occupations",250,"Good","0"
"24280",68000,55,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","middle atlantic",40,"Private","Other services","Production occupations",350,"Good","1"
"96528",7500,68,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east south central",70,"Self-employed","Professional and business services","Transportation and material moving occupations",700,"Bad","0"
"171003",30000,24,"White only","female","Some college but no degree","Never married","No","pacific",40,"Private","Leisure and hospitality","Office and administrative support occupations",175,"Good","0"
"103050",11000,21,"White only","male","High school graduate - high school diploma or equivalent","Never married","Yes","east south central",40,"Private","Professional and business services","Office and administrative support occupations",670,"Good","0"
"69594",10000,50,"White only","female","High school graduate - high school diploma or equivalent","Widowed","Yes","south atlantic",40,"Private","Professional and business services","Service occupations",2000,"Good","0"
"115976",20000,24,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","Yes","west north central",40,"Private","Educational and health services","Professional and related occupations",280,"Good","0"
"55470",45000,24,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","west north central",45,"Government","Educational and health services","Professional and related occupations",3850,"Good","0"
"53310",69000,32,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","west north central",40,"Private","Professional and business services","Management, business, and financial occupations",14950,"Good","1"
"38229",3000,25,"White only","female","Some college but no degree","Married - civilian spouse present","No","east north central",34,"Private","Professional and business services","Management, business, and financial occupations",550,"Good","0"
"64272",89000,50,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Educational and health services","Professional and related occupations",3175,"Good","1"
"176226",45713,39,"White only","male","Associate degree in college - occupation/vocation program","Never married","No","pacific",40,"Private","Information","Professional and related occupations",0,"Good","0"
"26349",60205,48,"White only","male","Doctorate degree (for example: PHD,EDD)","Married - civilian spouse present","No","middle atlantic",35,"Government","Educational and health services","Professional and related occupations",1250,"Good","1"
"15342",90000,23,"Black only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","middle atlantic",40,"Private","Educational and health services","Professional and related occupations",3000,"Good","1"
"24208",45000,47,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","middle atlantic",40,"Self-employed","Professional and business services","Professional and related occupations",200,"Good","0"
"123409",7000,39,"Black only","female","Some college but no degree","Married - civilian spouse present","Yes","west south central",25,"Private","Leisure and hospitality","Service occupations",50,"Good","0"
"110201",8000,33,"White only","male","10th grade","Never married","No","west south central",40,"Private","Information","Sales and related occupations",3100,"Good","0"
"159622",47000,25,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","Yes","pacific",24,"Government","Educational and health services","Professional and related occupations",8020,"Good","0"
"120286",60000,39,"White only","female","Some college but no degree","Never married","No","west south central",45,"Private","Leisure and hospitality","Service occupations",4000,"Good","0"
"131928",33000,58,"White only","female","Some college but no degree","Married - civilian spouse present","No","mountain",40,"Private","Educational and health services","Management, business, and financial occupations",675,"Bad","0"
"91051",51500,63,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","south atlantic",50,"Private","Transportation and utilities","Transportation and material moving occupations",10568,"Good","0"
"118091",3780,34,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","west south central",12,"Government","Educational and health services","Professional and related occupations",200,"Bad","0"
"147525",50000,58,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","mountain",40,"Private","Wholesale and retail trade","Transportation and material moving occupations",5582,"Good","0"
"140849",40000,22,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","Yes","mountain",40,"Private","Educational and health services","Professional and related occupations",1550,"Good","0"
"175363",12000,32,"American Indian, Alaskan Native only (AI)","female","High school graduate - high school diploma or equivalent","Never married","No","pacific",40,"Private","Wholesale and retail trade","Office and administrative support occupations",0,"Good","0"
"76270",46000,30,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","south atlantic",45,"Government","Public administration","Installation, maintenance, and repair occupations",3085,"Good","0"
"54057",46000,52,"White only","male","Associate degree in college - academic program","Married - civilian spouse present","No","west north central",40,"Private","Wholesale and retail trade","Sales and related occupations",5600,"Bad","0"
"70549",100000,57,"Asian only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","south atlantic",45,"Private","Professional and business services","Professional and related occupations",3660,"Good","1"
"1708",6500,34,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Divorced","No","new england",20,"Private","Leisure and hospitality","Sales and related occupations",395,"Good","0"
"31919",37000,33,"White only","female","Some college but no degree","Married - civilian spouse present","No","east north central",40,"Government","Public administration","Management, business, and financial occupations",2300,"Bad","0"
"151069",60000,33,"White only","male","Some college but no degree","Married - civilian spouse present","No","pacific",40,"Government","Public administration","Professional and related occupations",1570,"Good","0"
"40196",30000,31,"White only","female","High school graduate - high school diploma or equivalent","Never married","No","east north central",20,"Private","Leisure and hospitality","Service occupations",300,"Good","0"
"41580",125000,47,"White only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","east north central",40,"Private","Manufacturing","Professional and related occupations",6400,"Good","1"
"12638",53000,37,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","middle atlantic",38,"Government","Public administration","Professional and related occupations",300,"Good","0"
"42869",37000,32,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",45,"Private","Educational and health services","Professional and related occupations",300,"Good","0"
"131020",46000,36,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","Yes","pacific",60,"Private","Agriculture, forestry,fishing, and hunting","Professional and related occupations",10,"Good","0"
"151932",21000,30,"White only","female","Associate degree in college - academic program","Never married","Yes","pacific",35,"Private","Financial activities","Office and administrative support occupations",320,"Good","0"
"87049",28000,56,"White only","male","High school graduate - high school diploma or equivalent","Separated","Yes","south atlantic",40,"Private","Professional and business services","Service occupations",3100,"Good","0"
"66872",60000,67,"Black only","male","Some college but no degree","Divorced","No","south atlantic",40,"Government","Leisure and hospitality","Service occupations",1720,"Good","0"
"43014",86000,42,"White only","male","High school graduate - high school diploma or equivalent","Divorced","No","east north central",55,"Private","Manufacturing","Management, business, and financial occupations",2820,"Good","1"
"18699",114000,41,"White only","male","Doctorate degree (for example: PHD,EDD)","Married - civilian spouse present","No","middle atlantic",40,"Self-employed","Professional and business services","Professional and related occupations",2300,"Good","1"
"67184",196000,32,"White-Asian","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","south atlantic",50,"Government","Public administration","Professional and related occupations",2700,"Good","1"
"100356",50000,51,"White only","male","11th grade","Divorced","No","east south central",40,"Private","Agriculture, forestry,fishing, and hunting","Farming, fishing, and forestry occupations",1400,"Good","0"
"37722",45000,65,"Asian only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",24,"Private","Construction","Professional and related occupations",600,"Good","0"
"77114",46000,59,"Black only","male","Some college but no degree","Divorced","No","south atlantic",40,"Private","Transportation and utilities","Transportation and material moving occupations",3500,"Good","0"
"37896",17712,58,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","Yes","east north central",25,"Self-employed","Educational and health services","Service occupations",4750,"Good","0"
"87821",15000,46,"White only","female","High school graduate - high school diploma or equivalent","Never married","Yes","south atlantic",36,"Private","Leisure and hospitality","Service occupations",500,"Bad","0"
"61466",12800,27,"White only","female","Some college but no degree","Never married","No","west north central",40,"Private","Construction","Construction and extraction occupations",0,"Good","0"
"116181",36000,35,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","west south central",35,"Government","Educational and health services","Professional and related occupations",2100,"Good","0"
"64941",174511,59,"White only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","south atlantic",50,"Government","Public administration","Management, business, and financial occupations",3087,"Good","1"
"61691",74000,54,"Black only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","south atlantic",40,"Private","Transportation and utilities","Installation, maintenance, and repair occupations",6450,"Good","1"
"93243",75000,35,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Government","Public administration","Professional and related occupations",400,"Good","1"
"132289",25000,26,"White only","female","Associate degree in college - academic program","Never married","No","mountain",32,"Private","Educational and health services","Professional and related occupations",50,"Good","0"
"38400",28000,17,"Black only","female","11th grade","Never married","No","east north central",40,"Private","Wholesale and retail trade","Professional and related occupations",50,"Good","0"
"70989",30000,36,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",25,"Private","Educational and health services","Professional and related occupations",650,"Good","0"
"46167",40000,48,"White only","male","High school graduate - high school diploma or equivalent","Divorced","No","west north central",50,"Private","Transportation and utilities","Transportation and material moving occupations",2740,"Good","0"
