"","PEARNVAL","A_AGE","PRDTRACE","A_SEX","A_HGA","A_MARITL","PEHSPNON","MIG_DIV","A_USLHRS","A_CLSWKR","A_MJIND","A_MJOCC","MOOP","HEAbin","earnbin"
"379",8000,58,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","new england",20,"Self-employed","Professional and business services","Professional and related occupations",900,"Good","0"
"382",39000,28,"White only","male","Doctorate degree (for example: PHD,EDD)","Never married","No","east north central",40,"Private","Educational and health services","Professional and related occupations",200,"Good","0"
"395",67000,31,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Private","Wholesale and retail trade","Installation, maintenance, and repair occupations",2500,"Good","1"
"400",80000,46,"White only","male","High school graduate - high school diploma or equivalent","Divorced","No","new england",50,"Private","Wholesale and retail trade","Sales and related occupations",1050,"Good","1"
"403",21000,27,"White only","female","Some college but no degree","Married - civilian spouse present","No","new england",32,"Private","Wholesale and retail trade","Production occupations",1050,"Good","0"
"410",85000,51,"White only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","new england",40,"Private","Transportation and utilities","Office and administrative support occupations",4060,"Good","1"
"413",42002,52,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",50,"Private","Professional and business services","Management, business, and financial occupations",551,"Good","0"
"417",80000,57,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",40,"Government","Professional and business services","Office and administrative support occupations",2600,"Good","1"
"420",55001,40,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","new england",40,"Government","Public administration","Management, business, and financial occupations",3000,"Good","0"
"427",76000,51,"White only","female","Associate degree in college - academic program","Divorced","No","new england",50,"Private","Professional and business services","Professional and related occupations",2800,"Bad","1"
"439",120000,45,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",40,"Government","Public administration","Professional and related occupations",9150,"Good","1"
"444",25000,53,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",40,"Self-employed","Professional and business services","Office and administrative support occupations",50,"Good","0"
"480",16000,38,"White only","male","Associate degree in college - academic program","Never married","No","new england",31,"Private","Wholesale and retail trade","Sales and related occupations",280,"Good","0"
"482",27000,45,"White only","female","High school graduate - high school diploma or equivalent","Divorced","No","new england",40,"Private","Educational and health services","Service occupations",5700,"Good","0"
"488",130000,45,"White only","male","Some college but no degree","Married - civilian spouse present","No","new england",50,"Private","Wholesale and retail trade","Sales and related occupations",9250,"Good","1"
"501",43000,51,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Private","Educational and health services","Office and administrative support occupations",2380,"Good","0"
"513",15000,20,"White only","female","Some college but no degree","Never married","No","new england",25,"Private","Educational and health services","Service occupations",150,"Good","0"
"517",20000,53,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Private","Wholesale and retail trade","Sales and related occupations",1000,"Good","0"
"522",39000,61,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Private","Educational and health services","Office and administrative support occupations",0,"Good","0"
"528",30000,38,"White only","female","Associate degree in college - academic program","Married - civilian spouse present","No","new england",50,"Self-employed","Manufacturing","Management, business, and financial occupations",1800,"Good","0"
"533",25600,27,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","new england",40,"Private","Professional and business services","Service occupations",25,"Good","0"
"548",60000,43,"White only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","new england",40,"Private","Educational and health services","Professional and related occupations",14475,"Good","0"
"558",65000,48,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",36,"Private","Educational and health services","Professional and related occupations",549,"Good","1"
"581",135000,49,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",45,"Private","Wholesale and retail trade","Sales and related occupations",854,"Good","1"
"584",93000,55,"Asian only","male","Doctorate degree (for example: PHD,EDD)","Married - civilian spouse present","No","new england",40,"Government","Agriculture, forestry,fishing, and hunting","Professional and related occupations",3400,"Good","1"
"587",52000,48,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",99,"Self-employed","Leisure and hospitality","Management, business, and financial occupations",2300,"Good","0"
"596",54496,64,"Black only","male","Associate degree in college - academic program","Married - civilian spouse present","No","new england",40,"Government","Public administration","Professional and related occupations",630,"Good","0"
"598",11460,37,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Separated","No","new england",40,"Private","Educational and health services","Professional and related occupations",900,"Bad","0"
"636",85000,54,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",60,"Private","Wholesale and retail trade","Management, business, and financial occupations",2545,"Good","1"
"646",31000,77,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",24,"Private","Construction","Construction and extraction occupations",3420,"Good","0"
"650",109000,42,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",40,"Private","Professional and business services","Management, business, and financial occupations",13655,"Good","1"
"697",85000,53,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Government","Public administration","Service occupations",4850,"Good","1"
"698",94000,53,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Private","Educational and health services","Management, business, and financial occupations",4102,"Good","1"
"763",80000,53,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",40,"Private","Professional and business services","Professional and related occupations",5600,"Good","1"
"780",41000,53,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Private","Wholesale and retail trade","Installation, maintenance, and repair occupations",600,"Good","0"
"798",53596,68,"White-Black","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",40,"Government","Public administration","Service occupations",700,"Good","0"
"810",45000,45,"Black only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","new england",40,"Private","Manufacturing","Production occupations",0,"Good","0"
"840",48200,32,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Never married","No","new england",50,"Government","Educational and health services","Professional and related occupations",1320,"Good","0"
"841",70000,31,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","new england",45,"Government","Educational and health services","Professional and related occupations",1290,"Good","1"
"849",78000,36,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Divorced","No","new england",40,"Private","Manufacturing","Management, business, and financial occupations",4590,"Good","1"
"850",93000,34,"White only","female","Doctorate degree (for example: PHD,EDD)","Divorced","No","new england",40,"Private","Educational and health services","Professional and related occupations",5500,"Good","1"
"857",17886,69,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",10,"Private","Wholesale and retail trade","Sales and related occupations",2163,"Good","0"
"864",50000,57,"White only","male","High school graduate - high school diploma or equivalent","Divorced","No","new england",30,"Private","Construction","Construction and extraction occupations",200,"Good","0"
"869",88000,29,"White only","male","Associate degree in college - occupation/vocation program","Married - civilian spouse present","No","new england",40,"Private","Manufacturing","Production occupations",350,"Good","1"
"893",38100,37,"White only","male","Associate degree in college - occupation/vocation program","Divorced","No","new england",40,"Private","Information","Professional and related occupations",5250,"Bad","0"
"900",72400,50,"White only","male","Associate degree in college - academic program","Divorced","No","new england",40,"Private","Educational and health services","Professional and related occupations",5600,"Good","1"
"918",158000,42,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Private","Educational and health services","Office and administrative support occupations",6250,"Good","1"
"924",60000,48,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",45,"Private","Educational and health services","Management, business, and financial occupations",500,"Good","0"
"931",8000,44,"White only","female","High school graduate - high school diploma or equivalent","Divorced","No","new england",28,"Private","Educational and health services","Service occupations",0,"Good","0"
"935",115000,66,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Private","Manufacturing","Production occupations",2000,"Good","1"
"936",17000,62,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",32,"Private","Leisure and hospitality","Production occupations",5250,"Good","0"
"939",30000,31,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","new england",40,"Private","Educational and health services","Professional and related occupations",200,"Good","0"
"941",31000,27,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Never married","Yes","new england",45,"Private","Other services","Management, business, and financial occupations",1650,"Good","0"
"953",6000,27,"White-Black","female","High school graduate - high school diploma or equivalent","Never married","No","new england",8,"Private","Educational and health services","Service occupations",0,"Good","0"
"958",56000,37,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",35,"Government","Educational and health services","Professional and related occupations",10500,"Good","0"
"979",27500,52,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","new england",50,"Government","Educational and health services","Professional and related occupations",10500,"Good","0"
"983",38000,45,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Private","Wholesale and retail trade","Office and administrative support occupations",0,"Good","0"
"991",120000,47,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",40,"Private","Professional and business services","Service occupations",4200,"Good","1"
"994",20000,18,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","new england",40,"Private","Wholesale and retail trade","Installation, maintenance, and repair occupations",0,"Good","0"
"998",96000,37,"White only","male","Professional school degree (for example: MD,DDS,DVM,LLB,JD)","Married - civilian spouse present","No","new england",40,"Self-employed","Professional and business services","Professional and related occupations",5050,"Good","1"
"1008",20000,31,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",30,"Private","Other services","Service occupations",0,"Good","0"
"1022",130000,53,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",40,"Private","Professional and business services","Sales and related occupations",5600,"Good","1"
"1027",32000,48,"Black only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",40,"Private","Educational and health services","Service occupations",1270,"Good","0"
"1043",20000,31,"White only","female","High school graduate - high school diploma or equivalent","Never married","No","new england",30,"Private","Wholesale and retail trade","Sales and related occupations",350,"Good","0"
"1078",47000,51,"White only","female","Some college but no degree","Married - civilian spouse present","No","new england",45,"Private","Leisure and hospitality","Management, business, and financial occupations",10250,"Good","0"
"1081",125000,44,"White only","male","Associate degree in college - occupation/vocation program","Married - civilian spouse present","No","new england",55,"Private","Manufacturing","Management, business, and financial occupations",5500,"Good","1"
"1086",15000,62,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","new england",21,"Private","Wholesale and retail trade","Office and administrative support occupations",50,"Good","0"
"1088",64000,41,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","new england",60,"Government","Educational and health services","Professional and related occupations",6500,"Good","1"
"1104",85000,53,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",45,"Private","Financial activities","Management, business, and financial occupations",300,"Good","1"
"1107",101680,60,"White only","male","High school graduate - high school diploma or equivalent","Divorced","No","new england",48,"Government","Manufacturing","Professional and related occupations",6700,"Good","1"
"1110",45000,57,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Private","Manufacturing","Production occupations",7200,"Bad","0"
"1117",100000,63,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",60,"Government","Manufacturing","Production occupations",7700,"Good","1"
"1121",36800,65,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",35,"Government","Educational and health services","Professional and related occupations",6891,"Good","0"
"1146",33000,30,"White only","female","Some college but no degree","Married - civilian spouse present","No","new england",40,"Private","Financial activities","Office and administrative support occupations",1000,"Good","0"
"1169",69000,61,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Private","Educational and health services","Professional and related occupations",10500,"Good","1"
"1174",40000,45,"White only","male","Some college but no degree","Married - civilian spouse present","No","new england",40,"Private","Other services","Production occupations",1200,"Bad","0"
"1175",50200,42,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",38,"Private","Educational and health services","Office and administrative support occupations",7200,"Bad","0"
"1179",45240,35,"White only","female","Associate degree in college - academic program","Divorced","No","new england",40,"Private","Wholesale and retail trade","Sales and related occupations",0,"Good","0"
"1184",6862,22,"White only","male","Some college but no degree","Never married","No","new england",16,"Private","Manufacturing","Transportation and material moving occupations",202,"Good","0"
"1197",130000,35,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",40,"Private","Professional and business services","Management, business, and financial occupations",320,"Good","1"
"1201",30000,40,"White only","female","Associate degree in college - occupation/vocation program","Married - civilian spouse present","Yes","new england",24,"Private","Educational and health services","Service occupations",9200,"Good","0"
"1220",28000,19,"White only","female","High school graduate - high school diploma or equivalent","Never married","No","new england",36,"Private","Educational and health services","Service occupations",650,"Good","0"
"1221",11000,17,"White only","male","11th grade","Never married","No","new england",17,"Private","Leisure and hospitality","Service occupations",1550,"Good","0"
"1224",22601,55,"White only","male","Some college but no degree","Married - civilian spouse present","No","new england",40,"Government","Leisure and hospitality","Professional and related occupations",300,"Good","0"
"1233",24000,30,"White only","female","12th grade no diploma","Never married","No","new england",40,"Private","Manufacturing","Production occupations",40,"Good","0"
"1251",80000,51,"White only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Never married","No","new england",45,"Private","Professional and business services","Professional and related occupations",12750,"Good","1"
"1268",14000,19,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","new england",30,"Private","Wholesale and retail trade","Office and administrative support occupations",50,"Good","0"
"1294",30000,69,"White only","female","Some college but no degree","Married - civilian spouse present","No","new england",40,"Self-employed","Other services","Service occupations",3100,"Good","0"
"1296",82000,62,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - spouse absent (exc.separated)","No","new england",45,"Private","Financial activities","Professional and related occupations",850,"Good","1"
"1301",36400,34,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Private","Manufacturing","Professional and related occupations",2350,"Good","0"
"1305",26000,51,"White only","male","High school graduate - high school diploma or equivalent","Divorced","No","new england",60,"Private","Wholesale and retail trade","Sales and related occupations",2800,"Good","0"
"1341",50000,38,"White only","male","Some college but no degree","Married - civilian spouse present","No","new england",46,"Private","Financial activities","Sales and related occupations",50,"Good","0"
"1353",36000,61,"White only","female","Associate degree in college - academic program","Married - civilian spouse present","No","new england",35,"Government","Transportation and utilities","Office and administrative support occupations",12500,"Good","0"
"1392",45000,60,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",40,"Private","Educational and health services","Management, business, and financial occupations",2800,"Good","0"
"1402",56000,39,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Private","Educational and health services","Management, business, and financial occupations",6100,"Good","0"
"1404",100000,41,"White only","female","Some college but no degree","Married - civilian spouse present","No","new england",40,"Private","Manufacturing","Office and administrative support occupations",1250,"Good","1"
"1410",44000,44,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Divorced","No","new england",40,"Private","Educational and health services","Management, business, and financial occupations",300,"Good","0"
"1412",80000,38,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",40,"Government","Educational and health services","Professional and related occupations",3915,"Good","1"
"1429",21000,55,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Private","Wholesale and retail trade","Sales and related occupations",1900,"Good","0"
"1439",55000,28,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","new england",40,"Private","Professional and business services","Office and administrative support occupations",1030,"Good","0"
"1440",41000,25,"White only","male","Associate degree in college - academic program","Married - civilian spouse present","Yes","new england",50,"Private","Leisure and hospitality","Service occupations",650,"Good","0"
"1441",40000,23,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",40,"Private","Educational and health services","Professional and related occupations",350,"Good","0"
"1442",24000,30,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","Yes","new england",20,"Private","Leisure and hospitality","Office and administrative support occupations",400,"Good","0"
"1453",10000,33,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",30,"Private","Information","Professional and related occupations",2050,"Bad","0"
"1460",58000,42,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",50,"Private","Educational and health services","Management, business, and financial occupations",8700,"Good","0"
"1469",29000,56,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Private","Wholesale and retail trade","Sales and related occupations",650,"Good","0"
"1475",4000,45,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",4,"Government","Public administration","Management, business, and financial occupations",600,"Good","0"
"1493",46000,58,"White only","male","High school graduate - high school diploma or equivalent","Divorced","No","new england",40,"Private","Manufacturing","Production occupations",7500,"Good","0"
"1503",150000,58,"White only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","new england",40,"Private","Professional and business services","Sales and related occupations",650,"Good","1"
"1506",45000,48,"White only","female","Associate degree in college - academic program","Married - civilian spouse present","No","new england",40,"Government","Public administration","Professional and related occupations",2540,"Good","0"
"1528",48000,29,"White only","male","10th grade","Never married","No","new england",40,"Private","Construction","Construction and extraction occupations",848,"Good","0"
"1538",78000,48,"White only","male","High school graduate - high school diploma or equivalent","Divorced","No","new england",50,"Private","Manufacturing","Production occupations",6758,"Good","1"
"1544",35000,54,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",50,"Self-employed","Transportation and utilities","Transportation and material moving occupations",4700,"Bad","0"
"1587",30000,45,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Private","Educational and health services","Professional and related occupations",140,"Good","0"
"1594",6400,19,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","new england",40,"Private","Other services","Installation, maintenance, and repair occupations",0,"Good","0"
"1602",75000,54,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","new england",50,"Government","Educational and health services","Professional and related occupations",5700,"Good","1"
"1611",72000,46,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Private","Financial activities","Sales and related occupations",12850,"Good","1"
"1623",44000,36,"White only","female","High school graduate - high school diploma or equivalent","Divorced","No","new england",40,"Private","Financial activities","Office and administrative support occupations",4275,"Good","0"
"1627",32000,32,"White only","male","Some college but no degree","Never married","No","new england",40,"Private","Construction","Installation, maintenance, and repair occupations",2754,"Good","0"
"1635",75000,61,"White only","male","Some college but no degree","Married - civilian spouse present","No","new england",40,"Private","Manufacturing","Production occupations",500,"Bad","1"
"1639",13260,36,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","new england",24,"Private","Educational and health services","Professional and related occupations",1400,"Good","0"
"1649",90000,58,"White only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","new england",35,"Self-employed","Professional and business services","Professional and related occupations",4700,"Good","1"
"1662",30000,30,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","new england",50,"Private","Educational and health services","Professional and related occupations",150,"Good","0"
"1664",50000,61,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",39,"Government","Transportation and utilities","Office and administrative support occupations",3050,"Good","0"
"1667",25000,70,"White only","female","Associate degree in college - academic program","Married - civilian spouse present","No","new england",30,"Government","Educational and health services","Transportation and material moving occupations",600,"Good","0"
"1668",40000,57,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",30,"Self-employed","Professional and business services","Service occupations",1500,"Good","0"
"1672",28000,67,"White only","female","High school graduate - high school diploma or equivalent","Divorced","No","new england",29,"Private","Educational and health services","Service occupations",550,"Good","0"
"1674",35000,24,"White only","female","Some college but no degree","Never married","No","new england",40,"Private","Financial activities","Office and administrative support occupations",40,"Good","0"
"1675",12900,28,"White-Black","male","Some college but no degree","Married - civilian spouse present","No","new england",30,"Private","Leisure and hospitality","Service occupations",300,"Good","0"
"1676",16000,25,"White-Black","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Private","Professional and business services","Professional and related occupations",800,"Good","0"
"1703",40529,56,"White only","female","Some college but no degree","Married - civilian spouse present","No","new england",37,"Government","Public administration","Office and administrative support occupations",1800,"Good","0"
"1705",100000,35,"White only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","west south central",24,"Private","Professional and business services","Management, business, and financial occupations",1250,"Good","1"
"1731",66000,33,"White only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","new england",50,"Private","Wholesale and retail trade","Management, business, and financial occupations",1310,"Good","1"
"1739",52000,60,"White only","male","High school graduate - high school diploma or equivalent","Divorced","No","new england",40,"Private","Manufacturing","Production occupations",2650,"Good","0"
"1741",9000,25,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","new england",16,"Private","Leisure and hospitality","Service occupations",300,"Good","0"
"1751",45000,63,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",40,"Private","Manufacturing","Production occupations",7600,"Good","0"
"1752",30000,53,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Self-employed","Wholesale and retail trade","Sales and related occupations",1310,"Good","0"
"1758",45000,56,"White only","male","Associate degree in college - academic program","Divorced","No","new england",36,"Private","Manufacturing","Office and administrative support occupations",2775,"Good","0"
"1775",36000,54,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",15,"Private","Professional and business services","Professional and related occupations",330,"Good","0"
"1787",29000,69,"White only","male","Associate degree in college - academic program","Married - civilian spouse present","No","new england",38,"Private","Educational and health services","Service occupations",13190,"Good","0"
"1834",61000,60,"White only","female","Associate degree in college - academic program","Married - civilian spouse present","No","new england",40,"Private","Educational and health services","Office and administrative support occupations",7850,"Good","1"
"1842",53000,29,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","new england",45,"Private","Construction","Construction and extraction occupations",3008,"Good","0"
"1858",6240,15,"White only","male","7th and 8th grade","Never married","No","new england",6,"Private","Leisure and hospitality","Sales and related occupations",0,"Good","0"
"1873",100000,31,"White only","male","Associate degree in college - occupation/vocation program","Divorced","No","new england",40,"Private","Wholesale and retail trade","Sales and related occupations",2300,"Good","1"
"1897",159824,49,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",70,"Private","Manufacturing","Management, business, and financial occupations",125,"Good","1"
"1912",15000,54,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",30,"Private","Wholesale and retail trade","Office and administrative support occupations",1440,"Good","0"
"1921",152000,35,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",50,"Private","Leisure and hospitality","Management, business, and financial occupations",4700,"Good","1"
"1951",30000,57,"American Indian, Alaskan Native only (AI)","male","High school graduate - high school diploma or equivalent","Divorced","No","new england",40,"Private","Professional and business services","Service occupations",1076,"Good","0"
